date,ndvi
2019-01-02,0.1524322955077712
2019-01-04,0.16868763021264635
2019-01-07,0.1837894401200521
2019-01-09,0.19776702638740423
2019-01-12,0.2106496901721185
2019-01-14,0.22246673263161074
2019-01-17,0.23324745492329668
2019-01-19,0.2430211582045921
2019-01-22,0.25181714363291285
2019-01-24,0.25966471236567457
2019-01-27,0.2665931655602932
2019-01-29,0.2726318043741844
2019-02-01,0.27780992996476395
2019-02-03,0.2821568434894477
2019-02-06,0.2857018461056514
2019-02-08,0.28847423897079083
2019-02-11,0.2905033232422818
2019-02-13,0.29181840007753995
2019-02-16,0.29244877063398117
2019-02-18,0.2924237360690212
2019-02-21,0.29177259754007595
2019-02-23,0.290524656204561
2019-02-26,0.28870921321989224
2019-02-28,0.2863555697434854
2019-03-03,0.28349302693275635
2019-03-05,0.2801508859451207
2019-03-08,0.2763584479379944
2019-03-10,0.27214501406881253
2019-03-13,0.2676936518562701
2019-03-15,0.2629173478224109
2019-03-18,0.257830584814398
2019-03-20,0.25241194255969474
2019-03-23,0.24664984981064195
2019-03-25,0.2405402425901883
2019-03-28,0.2340884107626518
2019-03-30,0.2273010698889661
2019-04-02,0.22019674671726705
2019-04-04,0.21280640268809803
2019-04-07,0.20516874685576658
2019-04-09,0.19732939350733353
2019-04-12,0.18940532535511087
2019-04-14,0.1815175172129304
2019-04-17,0.17371520791577844
2019-04-19,0.16604898759216294
2019-04-22,0.15857025365072158
2019-04-24,0.1513408331536091
2019-04-27,0.14441845915553825
2019-04-29,0.13785683396395265
2019-05-02,0.13170569189271242
2019-05-04,0.12599908283641004
2019-05-07,0.12074300936347307
2019-05-07,0.11593955668040415
2019-05-09,0.11162449352363218
2019-05-09,0.10782504228617379
2019-05-12,0.10457699927903788
2019-05-14,0.10192282860917852
2019-05-17,0.0999291726195861
2019-05-19,0.09865226978663072
2019-05-22,0.09821899756184756
2019-05-24,0.09874436790609607
2019-05-27,0.10026967588349771
2019-05-29,0.10282023121965254
2019-06-01,0.10640700875696013
2019-06-03,0.11100025156910688
2019-06-06,0.11656988633290948
2019-06-08,0.12307716165750496
2019-06-11,0.130480428504331
2019-06-13,0.13873504884174684
2019-06-16,0.1477873202030785
2019-06-18,0.1575838281799215
2019-06-21,0.1681100516264053
2019-06-23,0.17934693471100993
2019-06-26,0.1912704071212538
2019-06-28,0.20385093242695593
2019-07-01,0.21705308525570666
2019-07-03,0.23084396048817354
2019-07-06,0.2451806218672119
2019-07-08,0.2600102228284101
2019-07-11,0.2751607140330854
2019-07-13,0.2904637185943029
2019-07-16,0.30574917387200123
2019-07-18,0.32084811983477557
2019-07-21,0.33559805762678374
2019-07-23,0.349836716758204
2019-07-26,0.3634090617367269
2019-07-28,0.37615952824013577
2019-07-31,0.3880185383131456
2019-08-02,0.39892576430379273
2019-08-05,0.4088348360870934
2019-08-07,0.41770951237534176
2019-08-10,0.42554144503050045
2019-08-12,0.43230077094405556
2019-08-15,0.437973053044286
2019-08-17,0.44256404338334976
2019-08-20,0.4460981257040068
2019-08-22,0.44857849424436413
2019-08-25,0.4499816195860976
2019-08-27,0.45034297960589975
2019-08-30,0.4496963090725813
2019-09-01,0.4480742042596065
2019-09-04,0.44548435622157023
2019-09-06,0.44193486242189234
2019-09-09,0.43743516815967676
2019-09-11,0.43199695940772226
2019-09-14,0.4256632661914175
2019-09-16,0.41851490603487007
2019-09-19,0.410659200555762
2019-09-21,0.40218288379386113
2019-09-26,0.3932143767745807
2019-09-29,0.3838822573732123
2019-10-01,0.37431363365713155
2019-10-04,0.36461985434664224
2019-10-06,0.3549122070752788
2019-10-09,0.34517121117127125
2019-10-09,0.3353698262180003
2019-10-11,0.3254618798994039
2019-10-14,0.3154206436988215
2019-10-16,0.30528549616441314
2019-10-19,0.2951734253409592
2019-10-21,0.2851934143866863
2019-10-24,0.2754467446162466
2019-10-26,0.26602726058111203
2019-10-29,0.2570215994186162
2019-10-31,0.24851299981616023
2019-11-03,0.24054552047678648
2019-11-05,0.23314225901297916
2019-11-08,0.2263302664075634
2019-11-10,0.22012621002034147
2019-11-13,0.21453490388439528
2019-11-15,0.20954781524754687
2019-11-18,0.20512042908737524
2019-11-20,0.2011922463130928
2019-11-23,0.197685639398801
2019-11-25,0.19457031144925963
2019-11-28,0.19179635529191574
2019-11-30,0.18932682560063827
2019-12-03,0.1871382890791089
2019-12-05,0.18522001514509848
2019-12-08,0.18359868614195834
2019-12-10,0.18230781136742572
2019-12-13,0.18139007361722842
2019-12-15,0.18085343853358754
2019-12-18,0.18070407880593406
2019-12-20,0.18094458203911407
2019-12-23,0.1816378334964044
2019-12-25,0.18281209708404758
2019-12-28,0.1845455062794018
2019-12-30,0.1868978340466238
2020-01-02,0.18956757054103662
2020-01-04,0.19265223782257743
2020-01-07,0.19614134681948428
2020-01-09,0.2000135568624739
2020-01-12,0.20423786736797414
2020-01-14,0.20877479872448781
2020-01-17,0.21357756125057875
2020-01-19,0.21860779874495156
2020-01-22,0.223827172765997
2020-01-24,0.22919909915477968
2020-01-27,0.23469049853449417
2020-01-29,0.24025661088335867
2020-02-01,0.24585387691143706
2020-02-03,0.25143435237902734
2020-02-06,0.25695113137335707
2020-02-08,0.26233027907902073
2020-02-11,0.2674904258440753
2020-02-13,0.2723422324637533
2020-02-16,0.2768179821764808
2020-02-18,0.280840005861157
2020-02-21,0.2843877241249328
2020-02-23,0.2874512121517385
2020-02-26,0.2901388916654597
2020-02-26,0.2925701442294719
2020-02-28,0.2947582105964011
2020-03-02,0.2966564068544217
2020-03-04,0.2982179267310068
